drug,condition,text,rating,date,helpful_votes,clean_text,word_count
Ozempic (Synthetic),Obesity,"In my experience, I've experienced significant weight loss. My A1C points dropped tremendously. I finally have much better blood sugar control. I actually have more energy now.",10,05-Jul-24,150,experience experienced significant weight loss a1c points dropped tremendously finally much better blood sugar control actually energy,17
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I lose weight, but I'm always tired. I have major pancreatitis concerns now. There is terrible injection site pain. Horrible diarrhea nearly every day. I've been dealing with frequent vomiting.",1,24-Mar-22,26,experience lose weight always tired major pancreatitis concerns terrible injection site pain horrible diarrhea nearly every day dealing frequent vomiting,20
Ozempic (Synthetic),Type 2 Diabetes,My A1C points dropped tremendously. My appetite is so much reduced. I finally have much better blood sugar control. The best medication I have ever taken.,9,27-Oct-24,14,a1c points dropped tremendously appetite much reduced finally much better blood sugar control best medication ever taken,17
Ozempic (Synthetic),Weight Management,"Honestly, Blood sugar is down, though the nausea restricts my life. I finally have much better blood sugar control. This drug changed my life completely.",9,12-Jun-24,125,honestly blood sugar though nausea restricts life finally much better blood sugar control drug changed life completely,17
Ozempic (Synthetic),Weight Management,"My A1C points dropped tremendously. It works really well, but it's incredibly expensive. I've experienced significant weight loss.",8,04-May-23,61,a1c points dropped tremendously works really well incredibly expensive experienced significant weight loss,13
Ozempic (Synthetic),Obesity,"Honestly, I actually have more energy now. I finally have much better blood sugar control.",9,25-May-24,141,honestly actually energy finally much better blood sugar control,9
Ozempic (Synthetic),Obesity,"In my experience, I lose weight, but I'm always tired. I'm noticing significant hair loss. Dealing with symptoms of gastroparesis. Horrible diarrhea nearly every day.",1,28-Apr-23,61,experience lose weight always tired noticing significant hair loss dealing symptoms gastroparesis horrible diarrhea nearly every day,17
Ozempic (Synthetic),Obesity,"Honestly, Severe constipation that won't go away. I'm noticing significant hair loss. Horrible diarrhea nearly every day. I have constant fatigue.",2,07-Jan-24,63,honestly severe constipation go away noticing significant hair loss horrible diarrhea nearly every day constant fatigue,16
Ozempic (Synthetic),Weight Management,I've been dealing with frequent vomiting. Dealing with symptoms of gastroparesis. There is terrible injection site pain.,1,28-Feb-23,9,dealing frequent vomiting dealing symptoms gastroparesis terrible injection site pain,10
Ozempic (Synthetic),Obesity,I have major pancreatitis concerns now.,2,02-Oct-22,23,major pancreatitis concerns,3
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, It gets the job done, but I feel horrible on injection day. My A1C points dropped tremendously. I've experienced significant weight loss. This drug changed my life completely.",9,16-Nov-23,146,honestly gets job done feel horrible injection day a1c points dropped tremendously experienced significant weight loss drug changed life completely,20
Ozempic (Synthetic),Type 2 Diabetes,I have constant fatigue. The nausea is overwhelming. I've been dealing with frequent vomiting.,2,30-Mar-24,150,constant fatigue nausea overwhelming dealing frequent vomiting,7
Ozempic (Synthetic),Type 2 Diabetes,There is terrible injection site pain. I have constant fatigue.,1,18-Apr-23,75,terrible injection site pain constant fatigue,6
Ozempic (Synthetic),Weight Management,"Honestly, I'm noticing significant hair loss. I've been dealing with frequent vomiting. It gets the job done, but I feel horrible on injection day. Dealing with symptoms of gastroparesis.",3,25-Feb-22,40,honestly noticing significant hair loss dealing frequent vomiting gets job done feel horrible injection day dealing symptoms gastroparesis,18
Ozempic (Synthetic),Type 2 Diabetes,"I have constant fatigue. I lose weight, but I'm always tired.",3,11-Dec-24,137,constant fatigue lose weight always tired,6
Ozempic (Synthetic),Type 2 Diabetes,"Dealing with symptoms of gastroparesis. I lose weight, but I'm always tired. The nausea is overwhelming. I have major pancreatitis concerns now.",2,16-Jul-24,0,dealing symptoms gastroparesis lose weight always tired nausea overwhelming major pancreatitis concerns,12
Ozempic (Synthetic),Obesity,"To be clear, I actually have more energy now. I finally have much better blood sugar control. The best medication I have ever taken.",10,24-Jun-23,37,clear actually energy finally much better blood sugar control best medication ever taken,13
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. The best medication I have ever taken.,8,29-Jun-23,107,appetite much reduced best medication ever taken,7
Ozempic (Synthetic),Weight Management,"This drug changed my life completely. Blood sugar is down, though the nausea restricts my life. The best medication I have ever taken.",8,17-Apr-24,103,drug changed life completely blood sugar though nausea restricts life best medication ever taken,14
Ozempic (Synthetic),Weight Management,"This drug changed my life completely. I lose weight, but I'm always tired. My A1C points dropped tremendously.",9,20-Dec-22,109,drug changed life completely lose weight always tired a1c points dropped tremendously,12
Ozempic (Synthetic),Obesity,"The medication is effective, but side effects are barely manageable. Severe constipation that won't go away. There is terrible injection site pain. Horrible diarrhea nearly every day.",2,14-Aug-24,26,medication effective side effects barely manageable severe constipation go away terrible injection site pain horrible diarrhea nearly every day,19
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I finally have much better blood sugar control. I've experienced significant weight loss. The best medication I have ever taken. My A1C points dropped tremendously.",8,02-Sep-23,133,clear finally much better blood sugar control experienced significant weight loss best medication ever taken a1c points dropped tremendously,19
Ozempic (Synthetic),Type 2 Diabetes,The best medication I have ever taken. I've experienced significant weight loss. My appetite is so much reduced.,9,29-Oct-23,75,best medication ever taken experienced significant weight loss appetite much reduced,11
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, My A1C points dropped tremendously. The best medication I have ever taken.",10,21-Apr-24,38,experience a1c points dropped tremendously best medication ever taken,9
Ozempic (Synthetic),Obesity,Severe constipation that won't go away.,1,08-Oct-22,128,severe constipation go away,4
Ozempic (Synthetic),Weight Management,This drug changed my life completely. My appetite is so much reduced. The best medication I have ever taken.,10,28-Jul-22,133,drug changed life completely appetite much reduced best medication ever taken,11
Ozempic (Synthetic),Obesity,The nausea is overwhelming.,2,11-Feb-24,75,nausea overwhelming,2
Ozempic (Synthetic),Type 2 Diabetes,"This drug changed my life completely. The best medication I have ever taken. I've experienced significant weight loss. It works really well, but it's incredibly expensive.",8,25-Feb-23,41,drug changed life completely best medication ever taken experienced significant weight loss works really well incredibly expensive,17
Ozempic (Synthetic),Weight Management,"My appetite is so much reduced. I actually have more energy now. My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life.",9,13-Jul-22,143,appetite much reduced actually energy a1c points dropped tremendously blood sugar though nausea restricts life,15
Ozempic (Synthetic),Obesity,"I have constant fatigue. The nausea is overwhelming. I'm noticing significant hair loss. Severe constipation that won't go away. I lose weight, but I'm always tired.",2,15-Sep-23,64,constant fatigue nausea overwhelming noticing significant hair loss severe constipation go away lose weight always tired,16
Ozempic (Synthetic),Type 2 Diabetes,I have constant fatigue. Horrible diarrhea nearly every day. I'm noticing significant hair loss.,1,07-Aug-23,69,constant fatigue horrible diarrhea nearly every day noticing significant hair loss,11
Ozempic (Synthetic),Obesity,"Severe constipation that won't go away. Blood sugar is down, though the nausea restricts my life. I lose weight, but I'm always tired. There is terrible injection site pain.",1,17-Jan-22,146,severe constipation go away blood sugar though nausea restricts life lose weight always tired terrible injection site pain,18
Ozempic (Synthetic),Type 2 Diabetes,I've been dealing with frequent vomiting. Dealing with symptoms of gastroparesis. The nausea is overwhelming.,1,30-May-24,20,dealing frequent vomiting dealing symptoms gastroparesis nausea overwhelming,8
Ozempic (Synthetic),Type 2 Diabetes,"This drug changed my life completely. It works really well, but it's incredibly expensive. I finally have much better blood sugar control. The best medication I have ever taken.",8,24-Aug-23,77,drug changed life completely works really well incredibly expensive finally much better blood sugar control best medication ever taken,19
Ozempic (Synthetic),Weight Management,"Honestly, The best medication I have ever taken. It works really well, but it's incredibly expensive. I actually have more energy now. My appetite is so much reduced.",10,08-Mar-24,95,honestly best medication ever taken works really well incredibly expensive actually energy appetite much reduced,15
Ozempic (Synthetic),Weight Management,"I lose weight, but I'm always tired. It gets the job done, but I feel horrible on injection day.",1,16-Jun-24,31,lose weight always tired gets job done feel horrible injection day,11
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, The medication is effective, but side effects are barely manageable. Horrible diarrhea nearly every day. Severe constipation that won't go away. It gets the job done, but I feel horrible on injection day.",4,29-Mar-24,135,experience medication effective side effects barely manageable horrible diarrhea nearly every day severe constipation go away gets job done feel horrible injection day,23
Ozempic (Synthetic),Obesity,The best medication I have ever taken.,9,10-Jan-23,10,best medication ever taken,4
